Measure,ReportingPeriodEndDate,AccommodationStatusCode,Number of Patients
Total number of people in contact with adult mental health services,31/05/2018,MA06,580
Total number of people in contact with adult mental health services,31/07/2018,MA06,565
Total number of people in contact with adult mental health services,31/08/2018,MA06,572
Total number of people in contact with adult mental health services,30/09/2018,MA06,569
Total number of people in contact with adult mental health services,31/10/2018,MA06,565
Total number of people in contact with adult mental health services,30/11/2018,MA06,563
Total number of people in contact with adult mental health services,31/12/2018,MA06,565
Total number of people in contact with adult mental health services,31/01/2019,MA06,567
Total number of people in contact with adult mental health services,28/02/2019,MA06,565
Total number of people in contact with adult mental health services,31/03/2019,MA06,571
Total number of people in contact with adult mental health services,30/04/2019,MA06,575
Total number of people in contact with adult mental health services,31/05/2019,MA06,577
Total number of people in contact with adult mental health services,30/06/2019,MA06,580
Total number of people in contact with adult mental health services,31/07/2019,MA06,746
Total number of people in contact with adult mental health services,31/08/2019,MA06,733
Total number of people in contact with adult mental health services,30/09/2019,MA06,707
Total number of people in contact with adult mental health services,31/10/2019,MA06,768
Total number of people in contact with adult mental health services,30/11/2019,MA06,759
Total number of people in contact with adult mental health services,31/12/2019,MA06,764
Total number of people in contact with adult mental health services,31/01/2020,MA06,762
Total number of people in contact with adult mental health services,29/02/2020,MA06,777
Total number of people in contact with adult mental health services,31/03/2020,MA06,782
Total number of people in contact with adult mental health services,30/04/2020,MA06,755
Total number of people in contact with adult mental health services,31/05/2020,MA06,751
Total number of people in contact with adult mental health services,30/06/2020,MA06,745
Total number of people in contact with adult mental health services,31/07/2020,MA06,749
Total number of people in contact with adult mental health services,31/08/2020,MA06,747
Total number of people in contact with adult mental health services,30/09/2020,MA06,758
Total number of people in contact with adult mental health services,31/10/2020,MA06,752
Total number of people in contact with adult mental health services,30/11/2020,MA06,737
Total number of people in contact with adult mental health services,31/12/2020,MA06,742
Total number of people in contact with adult mental health services,31/01/2021,MA06,729
